City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,kununurra,-15.7667,128.7333,301.14,74,65,0.0,AU,1698248888
248,kudat,6.8837,116.8477,299.11,94,6,0.0,MY,1698248889
249,illizi,26.4833,8.4667,299.04,10,100,4.02,DZ,1698248889
250,howrah,22.5892,88.3103,301.15,78,20,0.0,IN,1698248890
251,cannonvale,-20.2833,148.7,294.81,79,0,1.73,AU,1698248891
252,tarko-sale,64.9225,77.785,269.49,89,96,1.94,RU,1698248891
253,kulim,5.365,100.5618,300.89,89,100,0.83,MY,1698248892
254,capayan,-28.761,-66.0502,296.93,61,83,2.57,AR,1698248892
255,talara,-4.5772,-81.2719,297.57,73,40,8.23,PE,1698248893
256,nuku'alofa,-21.1333,-175.2,296.34,73,40,3.6,TO,1698248894
257,kristiansund,63.1115,7.732,280.51,70,0,2.06,NO,1698248894
258,nyaunglebin,17.95,96.7333,297.83,92,98,1.21,MM,1698248895
259,curvelo,-18.7564,-44.4308,308.0,30,84,4.97,BR,1698248895
260,emerald,-23.5333,148.1667,295.01,56,1,4.03,AU,1698248866
261,port macquarie,-31.4333,152.9167,293.09,83,100,6.38,AU,1698248795
262,cromwell,41.5951,-72.6454,295.12,61,0,3.6,US,1698248897
263,sungjibaegam,41.2428,128.7989,276.63,92,59,1.74,KP,1698248898
264,morehead city,34.7229,-76.726,297.59,69,0,1.79,US,1698248899
265,figuig (centre),32.1089,-1.2286,300.29,14,0,2.24,MA,1698248900
266,magadan,59.5667,150.8,261.78,78,5,3.16,RU,1698248900
267,dul'durga,50.6761,113.5931,268.52,47,19,1.37,RU,1698248901
268,santa ana de yacuma,-13.75,-65.4333,308.12,46,20,6.17,BO,1698248902
269,camiri,-20.05,-63.5167,295.03,83,100,1.54,BO,1698248902
270,thomaston,32.8882,-84.3266,295.03,63,40,3.09,US,1698248707
271,nizhneangarsk,55.7833,109.55,272.04,45,96,3.58,RU,1698248904
272,laguna,38.421,-121.4238,287.64,78,75,5.66,US,1698248904
273,enewetak,11.3474,162.3373,301.37,79,100,6.66,MH,1698248905
274,tete,-16.1564,33.5867,312.52,15,1,3.52,MZ,1698248905
275,polyarnyy,69.1989,33.4478,269.45,93,52,3.1,RU,1698248906
276,arauquita,7.0292,-71.4281,306.35,52,100,1.17,CO,1698248907
277,north platte,41.1239,-100.7654,282.09,96,100,0.45,US,1698248907
278,ghat,24.9647,10.1728,306.25,12,59,4.9,LY,1698248908
279,selibaby,15.159,-12.1829,313.76,12,46,3.36,MR,1698248909
280,kruisfontein,-34.0033,24.7314,289.62,74,32,5.03,ZA,1698248909
281,yorkton,51.2167,-102.4677,263.06,85,40,1.54,CA,1698248702
282,kushiro,42.975,144.3747,282.74,88,2,2.23,JP,1698248910
283,fort st. john,56.2499,-120.8529,257.09,78,75,2.06,CA,1698248911
